Analysis,Geology,Province,Region,Site,SubSite,Formation,Band,Nodule,Li7,Be9,B11,Mg24,Al27,Si28,P31,S33,K39,Ca42,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn68,Ga69,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo95,Cd111,In115,Sn118,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
15_PH_1762_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1762,5.47,0.38,69.36,23.1,750.83,465115.53,112.63,954.76,397.5,<271.89,<0.62,19.71,0.86,6.7,<0.62,58.46,<0.21,<1.18,0.83,9.31,2.04,1.28,<0.79,0.64,2.32,0.18,1.43,0.17,<0.09,<0.24,<0.02,0.15,0.03,3.65,0.17,0.23,0.03,0.19,<0.03,<0.01,<0.02,0.01,<0.02,0,<0.01,<0.00,0.02,0.01,0.02,0.02,0.36,0.04,0.3
16_PH_1762_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1762,5.14,0.83,62.99,28,790.45,465097.69,113.33,906.75,397.16,<426.61,<0.78,20.63,<0.70,5.11,<0.74,132.88,<0.25,<1.37,<0.49,10.7,2.61,<1.50,<1.01,0.84,2.36,0.14,1.24,0.14,<0.15,<0.26,<0.02,0.23,<0.03,3.75,0.17,0.26,0.06,0.22,0.16,0.01,<0.03,0,<0.02,0.01,<0.01,0,<0.00,<0.00,0.03,0.02,0.46,0.05,0.24
17_PH_1762_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1762,7.76,<0.65,61.65,29.21,892.2,464991.81,99.43,898.7,450.65,<505.39,<0.89,44.67,<0.84,7.23,<0.86,113.82,<0.35,<1.65,0.73,10.96,1.37,<1.90,<1.23,0.86,2.8,0.15,1.16,0.33,0.23,<0.12,0.04,0.37,0.04,4.89,0.27,0.41,0.11,0.17,<0.14,0.01,<0.06,<0.00,<0.02,<0.01,0.06,0.01,0.01,<0.01,<0.01,0.02,0.42,0.06,0.2
18_PH_1712_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1712,1.72,0.39,54.05,20.9,315.7,465701.45,107.98,948.23,211.97,<323.43,<0.73,7.4,<0.60,<3.31,<0.60,<15.76,<0.24,<1.15,<0.43,6.27,0.58,<1.30,<0.88,0.18,1.59,0.43,0.91,0.04,<0.07,<0.13,0.03,0.17,<0.03,1.07,0.36,0.31,0.06,0.24,<0.08,0.02,<0.04,<0.01,0.08,<0.00,0.02,0,0.03,0.01,<0.01,0,0.23,0.06,0.14
19_PH_1712_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1712,1.74,<0.10,58.89,21.02,384.15,465654.58,86.68,909.44,239.15,<360.49,<0.85,14.41,<0.63,4.85,<0.63,36.66,<0.22,<1.26,<0.43,8.85,0.37,<1.26,<0.93,0.29,1.51,0.3,0.73,0.08,<0.08,<0.18,<0.01,0.32,<0.01,1.22,0.33,0.29,0.07,0.42,0.07,<0.00,0.08,0.02,0.04,0.01,0.01,0.01,<0.01,0.01,0.01,0,0.22,0.03,0.15
20_PH_1712_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1712,3.36,1.09,51.46,22.88,386.47,465740.87,105.01,858.65,216.11,<487.09,<0.84,9.03,<0.55,<3.94,<0.65,<16.90,<0.25,<1.41,<0.47,7.41,0.29,<1.37,<1.00,0.23,1.56,0.36,2.6,0.08,<0.08,<0.19,0.05,0.3,<0.02,1.49,0.38,0.31,0.07,0.34,0.11,<0.00,0.04,0.01,<0.02,0,0.02,<0.00,0.05,0.01,0.03,0.01,0.29,0.02,0.16
26_PH_NARC063F41_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_NARC063F41,14.58,<0.45,57.57,38.06,1836.52,464028.18,84.96,851.44,814.11,<387.38,<0.98,72.85,1.21,8.69,2.64,47.06,<0.27,<1.39,<0.45,8.5,1.44,<1.65,<1.02,1.73,5.36,0.36,1.71,0.24,0.11,<0.24,<0.02,0.33,0.08,8.85,0.32,0.5,0.11,0.37,<0.10,0.05,<0.03,0.02,0.07,<0.01,<0.04,0,0.03,0.01,0.07,0.01,0.33,0.13,0.25
27_PH_NARC063F41_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_NARC063F41,13.9,<0.48,49.17,49.15,1977.25,462936.73,167.33,890.4,870.51,<480.35,<1.32,210.39,4.81,8.24,5.65,1184.72,0.57,<2.07,0.98,13.67,1.44,<2.00,3.24,1.94,5.63,0.5,1.49,0.82,<0.12,0.38,0.06,0.31,0.1,10.11,1.6,3.24,0.45,1.41,0.43,<0.01,<0.03,0.03,0.07,0.03,0.05,<0.00,0.14,0.01,<0.02,0.05,1.13,0.3,0.31
28_PH_NARC063F41_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_NARC063F41,13.9,<0.13,53.24,38.14,1824.22,463872.21,126.07,872.11,839.11,<365.54,<0.87,84.13,1.43,6.51,2.65,183.24,<0.27,<1.46,<0.45,6.99,1.02,<1.52,<1.08,1.72,5.32,0.61,6.73,0.37,0.31,<0.10,<0.03,0.28,0.07,7.57,0.55,0.7,0.18,0.44,0.09,0.03,0.13,0.03,0.11,0.02,0.02,0.04,0.18,0.02,0.27,0.06,0.41,0.23,0.15
29_PH_3334_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3334,0.82,0.81,73.83,20.98,383.03,465736.85,91.31,898.53,120.15,<358.17,<0.87,4.92,<0.69,7.13,<0.75,<15.20,<0.27,<1.40,<0.47,7.21,0.31,<1.44,<1.16,0.15,1.9,0.17,0.71,0.05,<0.10,0.3,<0.02,0.14,<0.02,1.42,0.15,0.13,0.08,0.2,<0.07,0.01,0.03,0.01,<0.02,0.01,0.01,0,0.03,0.01,<0.01,0,0.05,0.03,0.31
30_PH_3334_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3334,0.89,<0.59,70.91,18.05,400.89,465697.62,68.07,939.15,135.21,<355.47,<0.98,5.88,<0.69,6.49,<0.77,<14.02,<0.28,<1.45,<0.47,7.55,0.34,<1.64,<1.30,0.08,1.82,0.2,0.73,0.05,<0.20,<0.20,<0.03,0.13,<0.02,1.01,0.24,0.17,0.05,0.17,<0.08,0.02,0.03,0.01,<0.03,0,<0.01,<0.00,<0.00,0,0.02,0,0.08,0.03,0.22
31_PH_3334_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3334,1.12,<0.59,67.29,19.04,397.14,465738.29,77.63,904.06,139.35,<376.97,<0.97,<3.73,<0.57,7.21,<0.77,<12.98,<0.27,<1.33,<0.45,6.04,0.4,<1.50,<1.11,0.16,1.95,0.22,0.83,0.04,<0.24,<0.25,<0.03,0.19,<0.02,1.22,0.19,0.15,0.11,0.16,0.07,0.02,0.07,0.01,0.03,0.01,0.02,0.01,0.01,0,<0.02,0,0.15,0.02,0.2
32_PH_3341_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3341,3.91,<0.10,61.34,17.55,502.26,465481.84,67.88,985.33,224.31,<304.78,<0.60,13.15,<0.43,7.6,<0.67,38.43,<0.22,<0.94,<0.37,10.6,0.62,1.69,<0.86,0.33,1.76,0.37,1.13,0.16,<0.12,0.18,0.04,0.14,0.03,1.73,0.41,0.37,0.09,0.3,0.06,0.04,0.11,0.02,0.04,<0.00,0.02,0.01,0.02,0.01,0.04,0.01,0.18,0.08,0.12
33_PH_3341_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3341,4.59,0.36,68.34,16.55,464.14,465564.95,76.99,954.6,199.27,<280.44,<0.57,9.58,<0.52,7.19,0.95,11.31,<0.23,<1.05,<0.38,11.91,0.71,<1.00,<0.81,0.28,1.56,0.22,0.78,0.14,<0.06,<0.15,<0.02,0.29,<0.01,1.53,0.24,0.21,0.05,0.27,<0.05,0.01,0.02,0.01,0.01,0.04,<0.01,0.01,0.01,<0.01,0.01,0.02,0.07,0.1,0.12
34_PH_3341_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3341,3.71,0.34,65.42,16.79,460.99,465576.46,54.05,934.76,216.8,<277.70,<0.67,10.39,<0.53,8.58,0.75,68.48,<0.23,<1.05,0.43,7.75,0.48,<1.05,<0.73,0.3,1.87,0.31,0.85,0.13,<0.10,<0.18,0.02,0.16,<0.01,1.95,0.37,0.3,0.08,0.38,<0.07,0.02,0.06,0,0.03,0.01,0.04,0.01,0.05,<0.00,0.05,0.01,0.18,0.08,0.09
35_PH_4083_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_4083,2.96,0.21,86.32,16.71,472.82,465517.72,97.38,919.38,245.04,<405.71,<1.06,10.87,<0.71,6.26,2.02,21.54,<0.31,<1.39,0.7,9.21,1.1,<1.78,<1.09,0.27,2.57,0.26,1.8,0.09,<0.16,<0.27,0.06,0.17,<0.02,1.7,0.37,0.31,0.07,0.41,<0.11,0.03,<0.05,0.02,0.08,0.01,<0.02,0.01,0.03,<0.00,0.03,0,0.13,0.04,0.13
36_PH_4083_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_4083,2.54,<0.12,75.61,17.99,489.54,465487.82,66.13,965.24,255.13,<305.90,<0.77,14.82,<0.64,7.04,2.89,24.99,<0.23,<1.17,0.79,7.86,0.75,<1.47,<0.91,0.3,2.27,0.18,2.28,0.08,<0.15,<0.22,<0.02,0.16,0.03,1.46,0.29,0.32,0.07,0.26,<0.06,0.03,<0.04,0.01,0.06,0.01,<0.01,<0.00,0.02,0.01,0.01,0.01,0.33,0.04,0.2
37_PH_4083_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_4083,3.35,0.43,68.23,17.53,450.11,465742.93,<54.11,858.47,222.96,<361.69,<0.75,10.75,<0.71,7.07,2.16,38.35,<0.26,<1.19,0.44,6.58,0.68,<1.52,<0.96,0.28,2.29,0.3,1.6,0.11,<0.14,0.14,<0.02,0.21,<0.01,1.64,0.31,0.37,0.07,0.25,<0.07,0.04,0.1,0.01,0.08,0.01,0.03,<0.00,0.02,0.01,0.07,0.01,0.19,0.03,0.19
38_PH_3370_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3370,2.5,0.8,81.67,19.94,479.99,465484.52,71.11,937.91,207.14,<381.04,<0.78,15.05,<0.66,5.34,<0.69,118.83,<0.28,<1.20,<0.41,10.34,0.84,<1.46,<1.00,0.35,1.63,0.24,1.78,0.07,<0.15,<0.09,<0.02,0.14,<0.02,1.09,0.17,0.17,0.04,0.27,0.14,0.01,<0.01,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.12,0.02,0.11
39_PH_3370_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3370,1.89,<0.15,71.1,18.17,462.5,465459.86,72.22,959.09,184.37,<420.56,<0.86,12.14,<0.67,8.59,0.91,199.17,<0.31,<1.58,<0.49,5.42,0.3,<1.45,<1.05,0.24,1.72,0.26,1.97,0.08,<0.19,<0.10,<0.03,<0.25,<0.02,1.64,0.22,0.29,0.06,0.15,<0.12,<0.02,<0.01,0.03,0.01,0.03,0.01,<0.01,0.03,0.01,0.02,<0.00,0.21,0.05,0.11
40_PH_3370_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3370,2.64,<0.14,71.2,19.34,398.1,465571.15,93.41,994.49,163.28,<438.49,<0.82,5.03,<0.56,6.67,<0.72,31.38,<0.30,<1.66,<0.49,5.62,0.8,<1.64,<0.96,0.24,1.96,0.18,1.81,0.06,<0.17,<0.14,<0.03,<0.26,<0.02,0.97,0.12,0.18,0.04,0.23,<0.08,<0.02,0.07,<0.01,<0.02,0.01,0.02,<0.00,0.02,<0.00,0.01,0,0.11,0.03,0.14
46_PH_1197_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1197,3.82,<0.17,77.45,27.17,807.21,465128.37,65.53,909.32,425.3,<409.28,<0.90,26.1,<0.74,4.39,1.18,75.15,0.41,<1.49,0.73,7.96,1.13,<2.07,<1.17,0.95,2.85,0.35,1.1,0.17,<0.17,<0.27,0.09,0.27,0.12,2.54,0.38,0.38,0.11,0.32,<0.08,0.07,0.03,0.06,0.05,0.02,0.02,0.03,0.04,0.02,0.14,0.03,0.19,0.09,0.39
47_PH_1197_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1197,12.7,<0.40,67.22,30.32,823.33,465047.31,74.83,972.12,420.69,<398.40,<0.82,18.09,<0.79,5.8,<0.86,67.35,<0.31,1.38,<0.47,7.83,0.68,<1.71,<1.04,1.11,2.96,0.31,0.54,0.21,<0.17,0.2,0.06,0.67,0.04,4.51,0.3,0.3,0.08,0.23,0.09,0.04,0.13,0.06,0.07,0.11,0.04,0.15,<0.00,0.07,0.19,0.08,0.2,0.04,0.12
48_PH_1197_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1197,5.18,<0.67,82.3,29.2,914.13,464803.31,160.15,883.03,430.23,<661.47,<1.57,15.12,<1.29,<5.62,<1.47,345.76,<0.50,<2.13,<0.80,<9.26,0.58,<2.63,<1.66,0.84,3.37,0.38,0.91,0.22,<0.26,<0.15,<0.04,<0.22,<0.04,3.02,1.5,1.87,0.28,1.31,0.16,0.07,<0.04,<0.00,0.06,0.02,0.07,0,<0.01,<0.01,0.01,<0.00,0.28,0.11,0.23
49_PH_1908_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1908,1.19,0.43,74.63,18.11,385.3,465627.06,79.62,931.6,239.84,<325.37,<0.83,8.08,<0.70,4.01,<0.71,25.33,<0.28,<1.24,<0.52,7.69,<0.27,<1.54,<0.99,0.33,1.69,0.24,0.64,0.02,<0.16,<0.08,<0.02,0.17,<0.02,1.05,0.24,0.14,0.1,0.12,0.11,0.01,<0.03,0.02,<0.02,<0.01,0.05,0.01,0.11,<0.00,<0.00,0,0.08,0.05,0.35
50_PH_1908_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1908,0.86,<0.62,80.79,20.14,339.96,465587.01,112.42,972.52,223.95,<346.30,<0.80,6.7,<0.71,6.27,<0.81,14.98,<0.27,<1.30,<0.55,7.04,<0.27,<1.50,<1.00,0.35,1.62,0.25,4.61,0.04,<0.17,<0.08,<0.02,0.2,<0.02,0.81,0.22,0.13,0.06,0.17,<0.10,<0.00,0.1,0.01,0.06,0.02,<0.01,0.01,<0.00,0.01,0.1,0,0.09,0.02,0.27
51_PH_1908_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1908,1.14,<0.42,65.42,17.86,366.26,465597.03,148.79,945.6,215.33,<513.58,<0.94,6.74,<0.72,5.74,<1.02,<14.58,<0.27,<1.37,<0.57,8.03,<0.30,<1.51,<0.97,0.33,1.73,0.23,0.57,0.06,<0.15,<0.09,<0.02,0.24,<0.02,0.78,0.24,0.21,0.06,0.17,<0.10,<0.00,0.05,0.01,<0.02,<0.00,0.02,<0.00,0.02,0.01,0.01,0,0.1,0.03,0.26
52_PH_4466_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_4466,1.95,<0.13,75.3,16.44,344.65,465784.96,79.68,847.21,217.48,<373.00,<0.68,6.12,<0.55,9.36,<0.64,<12.16,<0.24,<1.15,0.55,10.19,<0.22,<1.11,<0.79,0.25,1.8,0.33,0.67,0.05,<0.17,<0.11,<0.02,0.15,<0.02,1.27,0.38,0.34,0.09,0.46,<0.07,0.02,0.06,0.01,0.05,0.02,0.03,<0.00,0.03,<0.00,0.01,0.01,0.13,0.02,0.2
53_PH_4466_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_4466,4.12,<0.11,79.8,18.64,444.88,465662.44,92.07,800.57,290.1,<213.15,<0.57,7.35,<0.40,7.67,0.59,42.11,<0.21,<1.07,<0.36,6.66,0.2,<1.04,<0.80,0.35,1.74,0.28,0.68,0.07,<0.11,<0.09,0.06,0.28,0.03,1.74,0.3,0.33,0.15,0.2,<0.04,0.03,0.06,0.01,0.04,<0.00,0.1,0.01,0.02,0.01,0.05,0.02,0.2,0.08,0.15
54_PH_4466_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_4466,1.59,0.44,65.67,15.51,360.23,465545.16,134.39,992.91,214.47,<337.75,<0.84,6.94,<0.59,7.5,<0.81,24.67,<0.29,<1.35,0.45,8.69,0.26,<1.55,<1.01,0.17,1.69,0.41,0.87,0.08,0.15,<0.17,<0.03,0.18,<0.01,1.82,0.4,0.41,0.11,0.35,0.05,0.02,0.16,<0.00,0.08,0.01,0.07,<0.00,0.03,<0.00,0.02,0.01,0.21,0.05,0.18
55_PH_2412_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2412,4.46,0.39,67.14,17.33,642.88,465200.43,90.95,939.66,234.57,<378.29,<0.75,11.4,<0.60,7.79,<0.66,321.45,<0.25,<1.09,0.5,8.46,1.42,<1.38,<0.89,0.29,1.75,0.13,5.58,0.41,0.21,<0.20,<0.02,0.18,0.02,3.35,0.1,0.08,0.02,0.04,<0.04,0.01,<0.01,0.01,0.04,<0.01,<0.00,0.01,0.03,<0.00,0.09,0.04,0.38,0.03,0.06
56_PH_2412_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2412,3.82,0.78,67.43,18.58,639.85,465225.01,88.82,970.45,233.76,<370.67,<0.77,21.21,<0.57,7.7,<0.60,213.86,<0.25,<1.26,<0.43,11.79,1.44,<1.52,<0.94,0.26,1.5,0.22,4.66,0.42,<0.11,<0.12,0.03,0.47,<0.02,2.49,0.16,0.14,0.03,0.1,<0.04,<0.01,0.06,0,0.04,0.01,0.03,0.01,0.04,<0.00,0.02,0.03,0.3,0.04,0.08
57_PH_2412_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2412,4.8,<0.13,67.72,17.31,640.93,465187.76,101.96,888.62,273.44,<315.18,<0.64,16.17,<0.45,9.56,1.11,379.61,<0.24,<1.38,0.46,9.02,1.46,<1.47,<0.78,0.23,1.73,0.29,4.28,0.43,<0.11,<0.11,<0.02,0.22,<0.01,1.78,0.18,0.11,0.06,0.25,0.12,0.06,<0.02,0.03,0.02,0.01,0.01,0,0.05,<0.00,0.07,0.02,0.43,0.04,0.08
58_PH_2209_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2209,2.91,3.29,94.82,25.78,876.15,464946.98,106.32,884.36,348.8,<342.50,<0.74,14.96,<0.53,5.04,<0.71,285.65,<0.25,<1.37,0.74,8.72,1.79,<1.60,<0.93,0.34,3.21,0.09,2.66,2.42,<0.14,0.16,<0.02,0.44,0.01,3.68,0.07,0.12,0.03,0.13,<0.07,<0.00,<0.01,<0.00,<0.01,0.01,<0.00,0,0.03,0.01,0.09,0,0.24,0.07,0.79
59_PH_2209_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2209,3.97,1.54,94.42,27.51,896.8,464893.44,95.92,925.86,381.08,<255.98,<0.62,8.94,<0.46,7.86,0.78,251.41,<0.22,1.03,0.69,9.92,1.58,<1.14,<0.78,0.35,3.68,0.07,3.42,3.08,<0.10,0.19,<0.02,0.2,<0.01,5.53,0.05,0.11,0.02,0.17,<0.05,0.03,0.04,<0.00,0.01,0,<0.01,<0.00,<0.01,<0.00,0.06,0.01,0.26,0.03,0.85
60_PH_2209_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2209,5.18,2.64,86.9,27.97,950.69,464913.51,105.26,888.37,415.54,<313.43,<0.58,13.61,<0.53,6.68,<0.67,171.1,<0.26,<0.99,0.76,9.69,1.85,1.23,<0.83,0.39,4.33,0.08,3.68,2.59,<0.10,<0.15,<0.02,0.16,<0.02,6.81,0.06,0.09,0.03,0.04,<0.04,<0.01,0.04,0.01,0.03,0,<0.01,<0.00,<0.01,<0.00,0.03,0.01,0.3,0.04,0.7
66_PH_3030_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3030,2.59,0.78,77.97,17.13,489.26,465600.14,78.35,866.85,225.14,<309.26,<0.87,4.98,<0.62,5.6,<1.00,46.92,<0.23,<1.26,0.51,6.9,0.8,2.17,<1.09,0.37,1.96,0.26,0.89,0.09,<0.11,<0.22,<0.02,<0.17,0.04,1.78,0.21,0.27,0.06,0.36,<0.07,0.05,0.1,0.02,0.05,<0.01,0.05,<0.00,0.04,<0.00,0.01,0.01,0.17,0.04,0.08
67_PH_3030_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3030,1.71,<0.17,92.48,17.6,466.63,465489.78,87.06,971.37,219.19,<303.62,<0.89,10.42,<0.59,5.75,<0.83,12.14,<0.26,<1.22,<0.49,8.04,0.63,<1.41,<1.05,0.24,1.98,0.16,0.7,0.11,<0.17,<0.17,<0.02,0.24,<0.02,2.01,0.17,0.17,0.04,0.23,<0.05,0.09,0.03,0.01,0.02,<0.00,0.02,<0.00,0.02,0.01,0.04,<0.00,0.13,0.03,0.15
68_PH_3030_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_3030,12.84,1.07,11.07,7.12,227.24,466125.37,119,769.28,62.01,<459.23,<1.25,7.21,<0.83,4.58,<0.94,<15.21,<0.36,<1.69,<0.60,<6.70,0.59,<1.79,<1.38,0.22,0.81,0.34,0.29,0.06,<0.34,<0.16,<0.03,0.27,<0.03,1.72,0.4,0.33,0.11,0.52,<0.06,0.01,0.06,0.01,0.05,0.01,<0.01,0.02,0.06,<0.01,<0.01,0,0.15,0.04,0.03
69_PH_2211_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2211,2.69,<0.59,98.53,14.46,512.68,465575.62,84.92,804.29,326.25,<350.42,<0.79,15.5,<0.61,9.71,<0.66,<10.11,<0.25,<1.20,<0.39,8.29,0.81,1.27,<0.98,0.41,2.49,0.46,2.89,0.12,<0.17,0.32,<0.02,<0.13,0.02,1.62,0.36,0.41,0.12,0.53,0.11,0.01,0.08,0.02,0.12,0.02,0.07,0,0.05,0.01,0.01,0.01,0.17,0.03,0.1
70_PH_2211_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2211,3.61,<0.40,99.5,15.6,545.33,465261.55,109.46,1001.36,352.17,<361.51,<0.80,17.96,<0.64,7.71,<0.77,15.4,<0.27,<1.27,<0.42,10.1,0.72,<1.53,1.15,0.5,2.78,0.65,2.22,0.22,0.11,<0.07,0.03,0.15,0.02,1.71,0.67,0.58,0.18,0.62,0.11,0.03,0.18,0,0.13,0.02,0.06,<0.00,0.05,0.01,0.03,0.02,0.17,0.06,0.09
71_PH_2211_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2211,3.65,<0.39,96.01,13.83,556.16,465076.35,122.33,930.91,360.25,<299.91,<0.77,13.27,<0.56,7.94,<0.71,424.38,<0.28,<1.42,<0.44,15.89,0.58,1.73,<0.93,0.61,2.59,0.5,2.86,0.15,<0.15,0.66,0.03,<0.16,0.03,1.56,0.38,0.41,0.14,0.41,0.13,0.03,<0.03,0.06,0.06,0.01,0.04,0.01,<0.02,<0.00,0.02,0.01,0.39,0.06,0.11
72_PH_1139_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1139,1.15,0.49,78.71,14.26,386.42,465651.84,85.42,907.86,189.42,<367.63,<0.97,8.43,<0.72,7.03,<0.89,55.12,<0.31,<1.83,<0.53,7.39,<0.28,<1.80,<1.16,0.22,2.12,0.43,0.62,0.02,<0.21,<0.25,0.04,<0.21,<0.02,1.18,0.51,0.39,0.14,0.43,0.16,0.02,0.05,0.02,0.04,0.02,0.05,0.01,0.04,0.01,0.03,0.01,0.24,0.03,0.3
73_PH_1139_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1139,2.19,0.47,69.32,14.63,421.8,465524.08,139.92,952.67,203.29,<470.10,<1.02,8.37,<0.79,7.81,<0.90,38.9,<0.30,<1.59,<0.47,7.5,<0.27,<1.74,<1.12,0.32,1.94,0.38,0.68,0.04,<0.18,<0.13,<0.02,<0.20,0.03,1.58,0.38,0.37,0.07,0.4,0.2,0.03,0.11,0.01,0.04,0.01,0.04,<0.00,0.06,0,0.01,<0.00,0.29,0.06,0.22
74_PH_1139_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_1139,1.15,<0.18,79.38,13.91,414.41,465519.24,110.13,960.92,192.98,<427.44,<0.95,10.26,<0.72,9.04,<0.78,71.69,<0.31,<1.42,0.51,12.95,<0.28,1.69,<0.98,0.25,2,0.44,0.64,0.07,<0.15,<0.12,0.13,<0.18,0.03,1.14,0.5,0.35,0.08,0.47,0.07,0.03,0.14,0.02,0.07,<0.01,0.02,0.02,<0.01,<0.00,0.03,0,0.29,0.05,0.19
75_PH_NARC-0555F8_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_NARC-0555F8,4.12,1.25,<5.94,60.46,1823.18,463855.88,100.8,953.81,812.47,<336.18,<0.95,146.37,2.87,12.89,1.13,148.19,<0.33,<1.54,0.77,9.26,0.51,<1.09,<0.97,2.97,7.18,0.36,1.42,0.5,<0.17,<0.23,<0.02,0.26,0.11,15.45,0.46,0.57,0.08,0.54,0.09,0.03,0.16,0.01,0.03,<0.01,0.01,0,<0.03,<0.00,0.06,0.1,0.34,0.14,0.1
76_PH_NARC-0555F8_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_NARC-0555F8,39.94,0.53,45.79,33.54,1716.34,464044.01,86.92,941.16,677.42,<410.45,<1.13,128.9,1.69,10.66,<1.15,68.17,<0.40,<1.70,0.83,9.02,0.37,<1.54,<1.22,1.38,4.36,0.44,2.33,0.48,<0.20,<0.23,<0.05,<0.18,0.05,6.99,0.55,0.72,0.11,0.45,0.14,0.04,0.04,0.01,0.02,0.01,<0.01,<0.00,0.04,<0.00,0.15,0.06,0.21,0.11,0.16
77_PH_NARC-0555F8_3,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_NARC-0555F8,13.42,<0.58,55.05,18.77,871.22,465006.44,126.22,977.67,399.59,<422.43,<1.33,26.85,<1.08,6.83,<1.00,18.5,<0.35,<1.73,<0.58,7.35,0.43,<1.78,<1.29,0.51,2.54,0.11,1.4,0.09,0.24,0.27,<0.05,<0.22,0.02,3.89,0.13,0.16,0.02,0.06,<0.11,<0.01,0.09,0,<0.03,<0.01,<0.01,0,0.02,<0.00,0,<0.00,0.15,0.04,0.38
78_PH_2574_1,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2574,11.66,<0.45,54.97,16.02,508.17,465401.57,88.36,958.65,275.7,<348.67,<1.08,19.54,<0.77,8.2,1.08,126.19,<0.28,<1.29,0.7,12.2,<0.30,<1.45,<0.99,0.39,2.06,0.36,1,0.13,<0.19,<0.07,<0.02,<0.21,0.03,1.42,0.41,0.31,0.1,0.28,<0.07,0.02,0.05,0.02,0.05,0.05,0.06,0.01,0.03,0.01,0.06,0.01,0.25,0.04,0.14
79_PH_2574_2,Artefacts,NA,NA,Pimple,NA,NA,NA,PH_2574,2.93,<0.21,54.49,21.68,438.74,465365.77,122.39,1057.61,214.37,<412.19,<1.11,11.12,<0.80,9.14,2.24,108.49,<0.40,<1.28,0.96,12.22,0.47,<1.70,<1.17,0.27,1.94,0.51,0.67,0.08,<0.25,0.14,<0.02,0.23,<0.02,1.82,0.48,0.46,0.09,0.41,0.1,<0.01,0.1,0.01,0.05,<0.01,0.02,<0.00,<0.01,<0.00,0,0.01,0.2,0.02,0.18
