,tsne1,tsne2,class
491,12.684969,-1.5641258,
492,-18.827013,-30.175552,WH
493,-11.37894,-22.43695,WH
494,-3.1327574,-11.632435,WH
495,-3.2794871,-11.403366,WH
496,-4.3422885,-5.6192,WH
497,-8.939672,-5.019046,WH
498,-7.4371586,-17.70142,WH
499,10.23234,-2.0542428,WH
500,10.455972,-2.0370705,WH
501,13.344286,-12.098492,WH
502,10.443019,-3.5217803,WH
503,10.777909,-1.6661406,WH
504,9.118373,-1.9632759,WH
505,8.454268,-0.45696682,WH
506,14.549261,9.157416,WH
507,9.783048,0.29973394,WH
508,-11.440899,3.0248878,WH
509,6.9828677,7.62677,WH
510,21.403131,3.7670138,WH
511,9.304141,20.144705,WH
512,11.138892,4.87274,WH
513,9.580571,20.300789,WH
514,9.60334,-0.04682454,WH
515,9.187337,18.324305,WH
516,11.2974825,-3.699405,WH
517,3.4493358,-3.5700173,WH
518,4.6228065,-4.137093,WH
519,15.607136,-14.326153,WH
520,16.875372,-13.813822,WH
521,3.7299857,-3.7552743,WH
522,15.327131,-8.157816,WH
523,6.6347938,-20.737602,WH
524,5.409398,-21.716082,WH
525,15.169945,-17.464607,WH
526,5.1182394,-4.2630444,WH
527,5.2755647,-4.5130897,WH
528,14.071168,-18.766016,WH
529,15.727853,-14.535013,WH
530,14.511471,-12.574643,WH
531,12.226357,-9.125296,WH
532,15.072454,-11.674621,WH
533,15.253682,-16.979755,WH
534,13.613403,-19.233564,WH
535,13.327146,18.271217,WH
536,14.391425,18.16441,WH
537,16.391794,20.908892,SQ
538,17.90103,23.162817,SQ
539,16.579094,22.340563,SQ
540,17.652721,23.314022,SQ
541,15.220762,20.497105,SQ
542,16.946566,20.711346,SQ
543,15.005255,19.414646,SQ
544,16.08524,21.639032,SQ
545,19.436832,20.137203,SQ
546,29.116272,-6.5914884,SQ
547,-9.350132,6.3335104,SQ
548,12.20225,20.303793,SQ
549,23.143358,19.332472,SQ
550,23.6377,11.758816,SQ
551,13.854997,16.133558,SQ
552,15.719588,17.121769,SQ
553,17.500437,16.608452,SQ
554,12.546144,20.541544,SQ
555,12.989818,13.385761,SQ
556,14.283718,13.871621,SQ
557,8.215403,25.8539,SQ
558,13.17588,15.320489,
559,19.481215,21.246876,
560,18.674854,20.642752,
561,11.081247,24.548094,
562,12.63344,16.05846,
563,13.574224,4.3978148,
564,14.645017,11.724788,
565,-15.349029,17.383446,
566,22.872082,14.140804,
567,22.641434,13.115026,
568,18.85,17.892548,
569,4.6912513,7.688237,
570,11.127735,12.15111,
571,14.056677,12.894685,
572,14.33727,12.631078,
573,13.419676,14.086113,WN
574,11.344285,19.369238,WN
575,11.320505,10.393812,WN
576,10.909278,10.411906,WN
577,-6.4523582,-4.8611135,WN
578,-12.0243025,16.019289,WN
579,7.6604533,5.488227,WN
580,25.745483,-0.4124573,WN
581,-12.758595,-18.985409,WN
582,15.675559,5.292656,WN
583,-1.5553455,17.751158,WN
584,17.035582,-4.4731255,WN
585,26.83447,-1.4465786,WN
586,14.61365,5.860127,WN
587,14.638744,6.0925555,WN
588,-4.0655904,-10.5904665,WN
589,14.370607,10.501436,WN
590,14.985872,5.1817355,WN
591,-1.9698155,20.918447,WN
592,-11.965633,10.723525,WN
593,23.350317,-4.16826,WN
594,6.3796363,10.019774,WN
595,-4.098677,-10.535707,WN
596,26.152094,-0.40221566,WN
597,23.577242,-5.8823395,WN
598,17.841047,5.5485153,WN
599,9.002048,2.3657308,WN
600,13.238266,3.3804073,WN
601,17.094812,0.16940345,WN
602,-12.506746,-21.214352,WN
603,16.002995,-6.5115185,WN
604,17.407633,4.134499,WN
605,13.715406,-2.9758275,WN
606,19.182844,0.7776963,WN
607,10.491174,16.896196,WN
608,12.950216,9.840724,WN
609,13.428126,6.48071,BH
610,22.507267,5.5694857,BH
611,-10.4475155,-3.4970946,BH
612,-6.7509375,-5.8136005,BH
613,17.319828,6.133999,BH
614,18.998964,4.020831,BH
615,5.7770066,10.696602,BH
616,20.710785,20.462442,BH
617,18.220387,18.150503,BH
618,11.468839,8.663676,BH
619,13.134753,-5.560686,BH
620,12.252985,7.365037,BH
621,-6.4932513,-3.5075002,BH
622,8.351553,4.720357,BH
623,12.568805,8.637916,BH
624,12.920835,9.682699,BH
625,16.161709,4.3171673,BH
626,16.038979,7.356976,BH
627,18.059057,7.9048424,BH
628,6.2120047,2.2048569,BH
629,12.986013,10.912045,BH
630,17.689081,7.530009,BH
631,22.099365,4.57515,BH
632,23.516655,3.362271,BH
633,17.391794,9.347279,BH
634,17.472626,8.983342,BH
635,-17.880009,9.645059,BH
636,-6.4569817,1.998771,BH
637,-7.810202,1.9088482,BH
638,-6.517166,5.8733683,BH
639,6.0458035,0.5731505,BH
640,-18.305462,1.6874326,BH
641,18.622763,-5.032654,BH
642,17.10432,3.2448792,BH
643,15.088562,1.5886259,BH
644,-24.390274,3.1043253,BH
645,5.1668177,-0.0116849765,PH
646,-0.78615063,5.8304343,PH
647,23.379436,-9.4485235,PH
648,-5.6286464,4.1934977,PH
649,-3.4100702,5.4369116,PH
650,-5.4533415,-1.6482388,PH
651,-4.888533,-0.012262105,PH
652,21.62831,9.273628,PH
653,-5.1521964,1.0641273,PH
654,-10.827315,0.39151266,PH
655,-10.274991,1.2346936,PH
656,-6.923636,3.6599298,PH
657,-6.7719517,3.5764804,PH
658,22.993366,-5.2402487,PH
659,-19.009256,1.0698359,PH
660,-8.121596,6.0056114,PH
661,-7.6172094,5.3837776,PH
662,0.1305643,0.956718,PH
663,14.078312,6.951052,PH
664,-0.5852711,-0.3051693,PH
665,-4.0424914,-2.2112317,PH
666,-3.4195707,-0.7220926,PH
667,20.940718,12.253729,PH
668,13.873928,7.7480865,PH
669,-7.503444,4.046984,PH
670,19.094566,14.115969,PH
671,-8.167748,3.9364662,PH
672,19.934368,12.938779,PH
673,18.866795,12.973411,PH
674,-8.056495,4.8936777,PH
675,-8.837646,4.3952265,PH
676,18.125021,13.751963,PH
677,-8.710104,3.5117917,PH
678,-17.610464,11.161891,PH
679,-2.820902,-3.39912,PH
680,-2.2440264,-5.1652594,PH
681,23.522556,10.68404,PH
682,-4.2293015,5.4777412,PH
683,-8.30908,-1.1929237,PH
684,8.385441,8.896072,PH
685,20.048061,13.891772,PH
686,19.575354,10.706088,PH
687,-9.061775,-3.974416,PH
688,6.639858,-6.178872,PH
689,13.225618,-11.374333,PH
690,22.195955,1.2140018,PH
691,10.944002,-1.2174425,PH
692,-5.509784,-3.2199054,PH
693,-21.512354,6.735286,PH
694,0.1423601,-17.302467,PH
695,-8.946054,0.15652746,PH
696,,,PH
697,,,PH
698,,,PH
699,,,PH
700,,,PH
701,,,PH
702,,,PH
703,,,PH
704,,,PH
705,,,PH
706,,,PH
707,,,PH
708,,,PH
709,,,PH
710,,,PH
711,,,PH
712,,,PH
713,,,PH
714,,,PH
715,,,PH
716,,,PH
717,,,PH
718,,,PH
719,,,PH
720,,,PH
721,,,PH
723,,,PH
724,,,PH
725,,,PH
726,,,PH
727,,,PH
728,,,PH
729,,,PH
730,,,PH
731,,,PH
732,,,PH
733,,,PH
734,,,PH
735,,,PH
736,,,PH
737,,,PH
738,,,PH
739,,,PH
740,,,PH
741,,,PH
742,,,PH
743,,,PH
744,,,PH
745,,,PH
747,,,LB
748,,,LB
749,,,LB
750,,,LB
751,,,LB
752,,,LB
753,,,LB
754,,,LB
755,,,LB
756,,,LB
757,,,LB
758,,,LB
759,,,LB
760,,,LB
761,,,LB
762,,,LB
763,,,LB
764,,,LB
765,,,LB
766,,,LB
767,,,LB
768,,,LB
769,,,LB
770,,,LB
771,,,LB
772,,,LB
773,,,LB
774,,,LB
775,,,LB
776,,,LB
777,,,LB
778,,,LB
779,,,LB
780,,,LB
781,,,LB
782,,,LB
783,,,LB
784,,,LB
785,,,LB
786,,,LB
787,,,LB
788,,,LB
789,,,LB
790,,,LB
791,,,LB
792,,,LB
793,,,LB
794,,,LB
795,,,LB
796,,,LB
797,,,LB
798,,,LB
799,,,LB
800,,,LB
801,,,LB
802,,,LB
803,,,LB
804,,,LB
805,,,LB
806,,,LB
807,,,LB
