REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,BISMUTH,SILVER,BULLION,,,,,
BCC23,denarius,IMP CAES DOMIT AVG GERM PM TRP VIIII  ,IMP XXI COS XV CENS PPP,Rome,Domitian,Domitian,0.003,0.335,8.28,0.002,0.001,0.45,0.007,0.0013,0.0001,0.00001,0.00147,0.0968,0.032,90.8,91.61,,,,,
BCC24,denarius,IMP CAES DOMIT AVG GERM PM TRP X  ,IMP XXI COS XV CENS PPP,Rome,Domitian,Domitian,0.006,0.52,5.57,0.004,0.002,0.62,0.019,0.0011,0.0001,0.00029,0.00005,0.0004,0.053,93.1,94.29,,,,,
BCC25,denarius,IMP CAES DOMIT AVG PM TRP X  ,IMP XXI COS XV CENS PPP,Rome,Domitian,Domitian,0.003,0.494,6.15,0.002,0.002,0.81,0.003,0.0012,0.0005,0.00039,0.00005,0.0005,0.025,92.51,93.84,,,,,
BCC26,denarius,IMP CAES DOMIT AVG GERM PM TRP X  ,IMP XXI COS XV CENS PPP,Rome,Domitian,Domitian,0.003,0.391,7.13,0.003,0.001,0.51,0.01,0.0011,0.0004,0.00012,0.00005,0.0001,0.019,91.93,92.85,,,,,
BCC27,denarius,IMP CAES DOMIT AVG GERM PM TRP X  ,IMP XXI COS XV CENS PPP,Rome,Domitian,Domitian,0.003,0.449,8.78,0.003,0.002,0.51,0.002,0.001,0.0001,0.00004,0.00005,0.0001,0.007,90.24,91.21,,,,,
BCC28,denarius,IMP CAES DOMIT AVG GERM PM TRP XIII  ,IMP XXII COS XVI CENS PPP,Rome,Domitian,Domitian,0.002,0.518,9.15,0.009,0.001,0.44,0.001,0.0066,0.0373,0.00065,0.00004,0.0003,0.008,89.83,90.79,,,,,
BCC29,denarius,IMP CAES DOMIT AVG GERM PM TRP XIII  ,IMP XXII COS XVI CENS PPP,Rome,Domitian,Domitian,0.003,0.482,2.49,0.003,0,0.44,0.003,0.0011,0.0001,0.0001,0.00005,0.0001,0.006,96.57,97.5,,,,,
BCC3,denarius,A VITELLIVS GERM IMP AVG TRP  ,CONCORDIA PR,Rome,Vitellius,Vitellius,0.003,0.715,17.26,0.008,0.002,0.59,0.006,0.0012,0.0001,0.00007,0.00005,0.0001,0.001,83.21,84.51,,,,,
BCC30,denarius,IMP CAES DOMIT AVG GERM PM TRP XV  ,IMP XXII COS XVII CENS PPP,Rome,Domitian,Domitian,0.004,0.134,3.77,0.004,0,0.3,0.002,0.0015,0.0002,0.00007,0.00007,0.0002,0.116,95.67,96.22,,,,,
BCC31,denarius,IMP NERVA CAES AVG PM TRP COS II PP  ,"CONCORDIA EXERCITVVM, Clasping hands.",Rome,Nerva,Nerva,0.002,0.413,11.07,0.003,0.002,0.53,0.002,0.001,0.0001,0.00004,0.00004,0.0001,0.026,87.95,88.91,,,,,
BCC32,denarius,IMP NERVA CAES AVG PM TRP COS II PP  ,FORTVNA AVGVST,Rome,Nerva,Nerva,0.003,0.636,7.62,0.008,0.002,0.54,0.003,0.0067,0.0008,0.00004,0.00005,0.0003,0.01,91.17,92.36,,,,,
BCC33,denarius,IMP NERVA CAES AVG (PM TRP) II (COS) III PI  ,SALVS PVBLICA,Rome,Nerva,Nerva,0.003,0.29,10.14,0.004,0.002,0.46,0.003,0.0343,0.0005,0.00007,0.00005,0.0003,0.031,90.54,91.32,,,,,
BCC34,denarius,IMP NERVA CAES AVG PM TR POT II  ,"COS III PATER PATRIAE, Priestly emblems.",Rome,Nerva,Nerva,0.003,0.402,11.54,0.003,0.001,0.52,0.003,0.0011,0.0001,0.00004,0.00005,0.0001,0.026,86.69,87.64,,,,,
BCC35,denarius,IMP NERVA CAES AVG PM TR POT (II)  ,"COS III PATER PATRIAE, Priestly emblems.",Rome,Nerva,Nerva,0.003,0.281,2.8,0.006,0.001,0.54,0.001,0.0011,0.0001,0.00007,0.00005,0.0001,0.073,96.3,97.19,,,,,
BCC36,denarius,IMP NERVA CAES AVG GERM PM TRP II  ,"IMP II COS IIIII P P, Fortuna.",Rome,Nerva,Nerva,0.004,0.605,8.04,0.005,0.001,0.42,0.002,0.0017,0.0002,0.00008,0.00007,0.0002,0.008,90.9,91.94,,,,,
BCC37,denarius,IMP NERVA CAES AVG GERM (PM TRP II)  ,"IMP II COS IIII PP, Libertas.",Rome,Nerva,Nerva,0.003,0.568,10.1,0.005,0.002,0.45,0.007,0.0012,0.0001,0.00014,0.00005,0.0001,0.008,88.85,89.88,,,,,
BCC4,denarius,A VITELLIVS GERM IMP AVG TRP  ,LIBERTAS RESTITVTA,Rome,Vitellius,Vitellius,0.006,0.55,16.39,0.003,0.002,0.35,0.011,0.0088,0.0009,0.00003,0.00004,0.0001,0.007,82.67,83.58,,,,,
BCC5,denarius,IMP CASESAR VESPASIANVS AVG  ,COS ITER FORT RED,Rome,Vespasian,Vespasian,0.005,0.691,15.48,0.006,0.001,0.38,0.007,0.001,0.0001,0.0001,0.00004,0.0001,0,83.43,84.5,,,,,
BCC6,denarius,IMP CAES VESP VES PM  ,AVGVR PON MAX,Rome,Vespasian,Vespasian,0.003,0.638,19.37,0.005,0.002,0.31,0.008,0.0011,0.006,0.00006,0.00005,0.0001,0,79.66,80.61,,,,,
BCC7,denarius,IMP CAES VESP AVG PM  ,TRI POT II COS III P P,Rome,Vespasian,Vespasian,0.002,0.607,20.19,0.002,0.002,0.44,0.007,0.0009,0.0034,0.00004,0.00004,0.0001,0,78.75,79.79,,,,,
BCC8,denarius,IMP CAES VESP AVG PM  ,TRI POT II COS III P P,Rome,Vespasian,Vespasian,0.003,0.383,17.47,0.006,0.002,0.58,0.012,0.0012,0.002,0.00005,0.00005,0.0001,0.055,81.49,82.51,,,,,
BCC9,denarius,CAESAR VESPASIANVS AVG  ,"IMP XIX  , Sow.",Rome,Vespasian,Vespasian,0.003,0.669,14.36,0.015,0.001,0.49,0.005,0.0102,0.0011,0.00006,0.00006,0.0002,0.001,86.25,87.41,,,,,
BM001,denarius,BON EVENT  Female bust,ROMA RENASCES,Spanish,Civil War,Civil War,0.012,0.013,0.01,0.013,0.001,0.29,0.004,0.0032,0.0013,0.00041,0.00054,0.0003,0.186,99.47,99.96,18.2,15.65,38.37,0.86,2.11
BM002,denarius,ROMA RESTITVTA  helmeted bust of Roma  r. ,IVPPITER LIBERATOR,Gaul,Civil War,Civil War,0.011,0.398,4.3,0.004,0,0.35,0.001,0.0425,0.1422,0.00003,0.00009,0.0002,0.065,94.69,95.5,18.41,15.66,38.59,0.85,2.1
BM003,denarius,SALVS GENERIS HVMANI  Victory stg. l. ,SPQR in wreath,Gaul,Civil War,Civil War,0.013,0.481,4.68,0.01,0,0.34,0.005,0.059,0.0654,0.00017,0.00017,0.0003,0.077,94.27,95.16,,,,,
BM004,denarius,SALVS GENERIS HVMANI  Victory stg. l.  ,SPQR in wreath,Gaul,Civil War,Civil War,0.007,0.366,3.33,0.002,0,0.42,0.005,0.0608,0.022,0.00015,0.0002,0.0004,0.06,95.73,96.57,18.45,15.66,38.61,0.85,2.09
BM005,denarius,SALVS GENERIS HVMANI  Victory stg. l.  ,SPQR in wreath,Gaul,Civil War,Civil War,0.003,0.466,2.3,0.004,0,0.27,0.002,0.0133,0.012,0.00018,0.00009,0.0002,0.024,96.9,97.67,18.45,15.66,38.6,0.85,2.09
BM006,denarius,MARS VLTOR ,SIGNA P R,Gaul,Civil War,Civil War,0.004,0.318,2.59,0.004,0,0.42,0.003,0.0201,0.0084,0.00009,0.00011,0.0002,0.056,96.58,97.37,18.46,15.66,38.59,0.85,2.09
BM007,denarius,DIVVS AVGVSTVS ,SENATVS P Q ROMANVS,Gaul or Spain,Civil War,Civil War,0.004,0.4,5.55,0.016,0,0.37,0.003,0.0528,0.0112,0.00151,0.00038,0.0002,0.054,93.53,94.36,,,,,
BM008,denarius,FIDES EXERCITVVM ,CONCORDIA PRAETORIANORVM,?,Civil War,Civil War,0.09,0.015,99.5,0.04,0.016,0.17,0.08,0.0372,0.0354,0.00201,0.00039,0.0007,0.005,0.01,0.2,,,,,
BM009,denarius,FIDES EXERCITVVM ,FIDES PRAETORIANORVM,Gaul,Civil War,Civil War,0.005,0.405,5.5,0.011,0.001,0.39,0.004,0.0568,0.0132,0.00097,0.00014,0.0003,0.053,93.55,94.4,18.44,15.66,38.59,0.85,2.09
BM010,denarius,VESTA P R QVIRITIVM ,I O MAX CAPITOLINVS,?,Civil War,Civil War,0.017,0.003,99.7,0.023,0.013,0.14,0.04,0.0028,0.0137,0.00162,0.00014,0.0005,0.002,0.04,0.19,,,,,
